name	id	definition	comment	broad	exact	related
blood	UBERON_0000178	A fluid that is composed of blood plasma and erythrocytes.				
cell	CL_0000000	A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.	The definition of cell is intended to represent all cells, and thus a cell is defined as a material entity and not an anatomical structure, which implies that it is part of an organism (or the entirety of one).			
primary cultured cell	CL_0000001	A cultured cell that is freshly isolated from a organismal source, or derives in culture from such a cell prior to the culture being passaged.	Covers cells actively being cultured or stored in a quiescent state for future use.		unpassaged cultured cell|primary cell culture cell	primary cell line cell
obsolete immortal cell line cell	CL_0000002	OBSOLETE: A cell line cell that is expected to be capable of an unlimited number of divisions, and is thus able to support indefinite growth/propagation in vitro as part of a immortal cell line.	Obsoleted in July 2013 and replaced by the CLO 'immortal cell line cell' class, as a result of CLO-OBI-CL alignment efforts.  Covers cells actively being cultured or stored in a quiescent state for future use.		continuous cell line cell|permanent cell line cell	
native cell	CL_0000003	A cell that is found in a natural setting, which includes multicellular organism cells 'in vivo' (i.e. part of an organism), and unicellular organisms 'in environment' (i.e. part of a natural environment).	To accommodate unicellular organisms better, 'cell in vivo' has been re-labeled 'native cell' to better represent its intended meaning - that is, that it is a cell in the context of a multicellular organism or in a natural environment. 'Native' is intended to contrast with 'in vitro', which refers to cells or other biological entities that have been intentionally placed in a controlled, non-natural setting for the purpose of study or manipulation. (MAH 1.12.12).			
obsolete cell by organism	CL_0000004	OBSOLETE: A classification of cells by the organisms within which they are contained.	This term was made obsolete because there is no difference in meaning between it and 'cell', as any cell can be classified by its species. If you have used this term in annotation, please replace it with cell (CL:0000000), native cell (CL:0000003), or cell in vitro (CL:0001034) as appropriate.			
fibroblast neural crest derived	CL_0000005					
neuronal receptor cell	CL_0000006				neuronal receptor cell (sensu Animalia)	
early embryonic cell	CL_0000007	A cell found in the embryo before the formation of all the gem layers is complete.				
migratory cranial neural crest cell	CL_0000008					
obsolete fusiform initial	CL_0000009	Obsolete. Use PO:0000079 from Plant Ontology instead. An elongated cell with approximately wedge-shaped ends, found in the vascular cambium, which gives rise to the elements of the axial system in the secondary vascular tissues.	replaced_by: PO:0000079			xylem initial|xylem mother cell
cultured cell	CL_0000010	A cell in vitro that is or has been maintained or propagated as part of a cell culture.	Note that this class was re-labeled to 'cultured cell' instead of 'cell line cell', as it intent was clarified to cover any cultured cells of multicellular and unicellular organisms. This includes cells actively being cultured, or cells that have been cultured but are stored in a quiescent state for future use. In having been cultured, cells must establish homeostasis and often replicate in a foreign environment. Accomodation of this stress initiates a selection of cells fit for such challenges, wherein necessary adaptive biochemical and.or genetic changes can occur. These changes can set them apart from the in vivo cells from which they derive, and such changes will typically accumulate and change over increasing time in culture. 			
migratory trunk neural crest cell	CL_0000011					
obsolete cell by class	CL_0000012		This term was made obsolete because there is no difference in meaning between it and 'cell', as any cell can be classified. If you have used this term in annotation, please replace it with cell (CL:0000000), native cell (CL:0000003), or cell in vitro (CL:0001034) as appropriate.			
obsolete dentine secreting cell	CL_0000013					
germ line stem cell	CL_0000014				germline stem cell	
male germ cell	CL_0000015					
male germ line stem cell	CL_0000016					
