""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"cell_ontology_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (original)"	"response component (cell subset)"	"cell ontology ID"	"cell type PRO and extra terms"	"protein ontology ID"	"all response components in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Rechtien et al. (2017) Systems Vaccinology Identifies an Early Innate Immune Signature as a Correlate of Antibody Responses to the Ebola Vaccine rVSV-ZEBOV. Cell Rep PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28854372' target='_blank'>28854372</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response component file"
""	"hipc_ctf_28854372_4"	"2017.08"	"hipc_ctf_28854372_4"	"peripheral blood mononuclear cell"	"CD86-positive myeloid dendritic cells (mDCs)"	"myeloid dendritic cell"	"CL_0000782"	"& CD86-positive "	"PR_000001412"	"myeloid dendritic cell & CD86-positive"	"cell type frequency"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"3d-0d"	"adults (18-55)"	"28854372"	"2017"	"Fig 2A"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28854372"	"adults"	"18"	"55"	"years"	"4"	"20"	"hipc_ctf_sig_28854372_4.txt"
""	"hipc_ctf_28854372_4"	"2017.08"	"hipc_ctf_28854372_4"	"peripheral blood mononuclear cell"	"CD86-positive CD16-positive inflammatory monocytes"	"monocyte"	"CL_0000576"	"& CD86-positive, CD16-positive, inflammatory"	"PR_000001412, PR_000001483"	"monocyte & CD86-positive, CD16-positive, inflammatory"	"cell type frequency"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"3d-0d"	"adults (18-55)"	"28854372"	"2017"	"Fig 2A"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28854372"	"adults"	"18"	"55"	"years"	"4"	"20"	"hipc_ctf_sig_28854372_4.txt"
""	"hipc_ctf_28854372_4"	"2017.08"	"hipc_ctf_28854372_4"	"peripheral blood mononuclear cell"	"CD40/CD86-positive monocytes"	"monocyte"	"CL_0000576"	"& CD40, CD86"	"PR_P29965, PR_000001412 "	"monocyte & CD40, CD86"	"cell type frequency"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"3d-0d"	"adults (18-55)"	"28854372"	"2017"	"Fig 2A"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28854372"	"adults"	"18"	"55"	"years"	"4"	"20"	"hipc_ctf_sig_28854372_4.txt"
""	"hipc_ctf_28854372_4"	"2017.08"	"hipc_ctf_28854372_4"	"peripheral blood mononuclear cell"	"CD16-positive inflammatory monocytes"	"monocyte"	"CL_0000576"	"& CD16-positive, inflammatory"	"PR_000001483"	"monocyte & CD16-positive, inflammatory"	"cell type frequency"	"positively"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"ebola virus"	""	"rVSV-EBOV"	"VO_0004660"	""	"3d-0d"	"adults (18-55)"	"28854372"	"2017"	"Fig 2A"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28854372"	"adults"	"18"	"55"	"years"	"4"	"20"	"hipc_ctf_sig_28854372_4.txt"
