""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"cell_ontology_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	""	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (original)"	"response component (cell subset)"	"cell ontology ID"	"cell type PRO and extra terms"	"protein ontology ID"	"all response components in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Cao et al. (2014) Differences in antibody responses between trivalent inactivated influenza vaccine and live attenuated influenza vaccine correlate with the kinetics and magnitude of interferon signaling in children. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909' target='_blank'>24495909</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component file"
""	"hipc_ctf_cor_24495909"	"2014.07"	"hipc_ctf_cor_23"	"blood"	"plasmablast"	"plasmablast"	"CL_0000980"	""	""	"plasmablast"	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"2010"	"Fluzone"	""	"correlated with HI titer to H3N2 and B strains at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"Fig 2"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"3"	"85"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_ctf_cor_24495909_85.txt"
""	"hipc_ctf_cor_24495909"	"2014.07"	"hipc_ctf_cor_23"	"blood"	"plasma cell"	"plasma cell"	"CL_0000786"	""	""	"plasma cell"	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"2010"	"Fluzone"	""	"correlated with HI titer to H3N2 and B strains at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"Fig 2"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"3"	"85"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_ctf_cor_24495909_85.txt"
""	"hipc_ctf_cor_24495909"	"2014.07"	"hipc_ctf_cor_23"	"blood"	"plasmablast"	"plasmablast"	"CL_0000980"	""	""	"plasmablast"	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"2010"	"Fluzone"	""	"correlated with VN titer to B strain at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"Fig 2"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"4"	"86"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_ctf_cor_24495909_86.txt"
""	"hipc_ctf_cor_24495909"	"2014.07"	"hipc_ctf_cor_23"	"blood"	"plasma cell"	"plasma cell"	"CL_0000786"	""	""	"plasma cell"	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"2010"	"Fluzone"	""	"correlated with VN titer to H1N1, H3N2, B strains at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"Fig 2"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"5"	"87"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_ctf_cor_24495909_87.txt"
""	"hipc_ctf_cor_24495909"	"2014.07"	"hipc_ctf_cor_23"	"blood"	"plasmablast"	"plasmablast"	"CL_0000980"	""	""	"plasmablast"	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"2010"	"FluMist"	""	"correlated with H3N2 VN titer at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"Fig 2"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"6"	"88"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_ctf_cor_24495909_88.txt"
