"observation_tier"	"template_name"	"observation_summary"	"story_title"	"submission_name"	"submission_description"	"project"	"submission_story"	"submission_story_rank"	"submission_center"	"principal_investigator"
1	"hipc_ctf_dir_1"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_ctf_dir_24336226"	"Li et al. (2014) Molecular signatures of antibody responses derived from a systems biology study of five human vaccines. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226' target='_blank'>24336226</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_ctf_dir_3"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_ctf_dir_23601689"	"Obermoser et al. (2013) Systems scale interactive exploration reveals quantitative and qualitative differences in response to influenza and pneumococcal vaccines. Immunity PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689' target='_blank'>23601689</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_ctf_dir_4"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material_1> and/or <exposure_material_2> targeting <target_pathogen_1>, <target_pathogen_2> and/or <target_pathogen_3>"	""	"hipc_ctf_dir_26755593"	"Nakaya et al. (2016) Systems biology of immunity to MF59-adjuvanted versus nonadjuvanted trivalent seasonal influenza vaccines in early childhood. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593' target='_blank'>26755593</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_ctf_dir_5"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_ctf_dir_26726811"	"Sobolev et al. (2016) Adjuvanted influenza-H1N1 vaccination reveals lymphoid signatures of age-dependent early responses and of clinical adverse events. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811' target='_blank'>26726811</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_ctf_dir_6"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_ctf_dir_23151505"	"Zak et al. (2012) Merck Ad5/HIV induces broad innate immune activation that predicts CD8⁺ T-cell responses but is attenuated by preexisting Ad5 immunity. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505' target='_blank'>23151505</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_ctf_dir_7"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_ctf_dir_28193898"	"Kazmin et al. (2017) Systems analysis of protective immune responses to RTS,S malaria vaccination in humans. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898' target='_blank'>28193898</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_ctf_dir_8"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_ctf_dir_23844129"	"Matsumiya et al. (2013) Roles for Treg expansion and HMGB1 signaling through the TLR1-2-6 axis in determining the magnitude of the antigen-specific immune response to MVA85A. PLoS ONE PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129' target='_blank'>23844129</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_ctf_dir_9"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_ctf_dir_28687661"	"Hou et al. (2017) A Systems Vaccinology Approach Reveals Temporal Transcriptomic Changes of Immune Responses to the Yellow Fever 17D Vaccine. J. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661' target='_blank'>28687661</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_ctf_dir_11"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_ctf_dir_27764254"	"Qi et al. (2016) Defective T Memory Cell Differentiation after Varicella Zoster Vaccination in Older Individuals. PLoS Pathog. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27764254' target='_blank'>27764254</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_ctf_dir_12"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material_1> and/or <exposure_material_2> targeting <target_pathogen>"	""	"hipc_ctf_dir_23290835"	"Grode et al. (2013) Safety and immunogenicity of the recombinant BCG vaccine VPM1002 in a phase 1 open-label randomized clinical trial. Vaccine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835' target='_blank'>23290835</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_ctf_dir_13"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material_1> and/or <exposure_material_2> targeting <target_pathogen>"	""	"hipc_ctf_dir_27974398"	"Loxton et al. (2017) Safety and Immunogenicity of the Recombinant Mycobacterium bovis BCG Vaccine VPM1002 in HIV-Unexposed Newborn Infants in South Africa. Clin. Vaccine Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398' target='_blank'>27974398</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_ctf_dir_14"	"In <tissue_type>, <response_component><proterm_and_extra> frequency was significantly <response_behavior> in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_ctf_dir_17651872"	"Scherer et al. (2007) Distinct gene expression profiles in peripheral blood mononuclear cells from patients infected with vaccinia virus, yellow fever 17D virus, or upper respiratory infections. Vaccine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872' target='_blank'>17651872</a>"	"Immune cell-type frequency response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
