""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"cell_ontology_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (original)"	"response component (cell subset)"	"cell ontology ID"	"cell type PRO and extra terms"	"protein ontology ID"	"all response components in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Obermoser et al. (2013) Systems scale interactive exploration reveals quantitative and qualitative differences in response to influenza and pneumococcal vaccines. Immunity PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689' target='_blank'>23601689</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response component file"
""	"hipc_ctf_dir_23601689"	"2013.04"	"hipc_ctf_dir_3"	"blood"	"leukocyte"	"leukocyte"	"CL_0000738"	""	""	"leukocyte"	"cell type frequency"	"up"	"none"	"1"	"Days"	"streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"adults, seniors"	"18"	"64"	"years"	"1"	"13"	"hipc_ctf_dir_23601689_13.txt"
""	"hipc_ctf_dir_23601689"	"2013.04"	"hipc_ctf_dir_3"	"blood"	"neutrophil"	"neutrophil"	"CL_0000775"	""	""	"neutrophil"	"cell type frequency"	"up"	"none"	"1"	"Days"	"streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"adults, seniors"	"18"	"64"	"years"	"1"	"13"	"hipc_ctf_dir_23601689_13.txt"
""	"hipc_ctf_dir_23601689"	"2013.04"	"hipc_ctf_dir_3"	"blood"	"B cell"	"B cell"	"CL_0000236"	""	""	"B cell"	"cell type frequency"	"up"	"none"	"7"	"Days"	"streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"adults, seniors"	"18"	"64"	"years"	"2"	"14"	"hipc_ctf_dir_23601689_14.txt"
""	"hipc_ctf_dir_23601689"	"2013.04"	"hipc_ctf_dir_3"	"blood"	"plasmablast"	"plasmablast"	"CL_0000980"	""	""	"plasmablast"	"cell type frequency"	"up"	"none"	"7"	"Days"	"streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"adults, seniors"	"18"	"64"	"years"	"2"	"14"	"hipc_ctf_dir_23601689_14.txt"
