""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"cell_ontology_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	""	""	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (original)"	"response component (cell subset)"	"cell ontology ID"	"cell type PRO and extra terms"	"protein ontology ID"	"all response components in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Tsang et al. (2014) Global analyses of human immune variation reveal baseline predictors of postvaccination responses. Cell PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414' target='_blank'>24725414</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"target pathogen 4"	"signature response component file"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"IgG+ Antibody secreting cells"	"IgG plasmablast"	"CL_0000982"	""	""	"IgG plasmablast"	"cell type frequency"	"up"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"73"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_73.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD40+ monocytes"	"monocyte"	"CL_0000576"	"& CD40+"	"PR:000001961"	"monocyte & CD40+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD38+ of CD8+ T cells"	"CD8-positive, alpha-beta T cell"	"CL_0000625"	"& CD38+"	"PR:000001408"	"CD8-positive, alpha-beta T cell & CD38+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
""	"hipc_ctf_dir_24725414"	"2014.04"	"hipc_ctf_dir_21"	"peripheral blood mononuclear cell"	"CD86+ monocytes"	"monocyte"	"CL_0000576"	"& CD86+"	"PR:000001412"	"monocyte & CD86+"	"cell type frequency"	"up"	"none"	"1"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"74"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipc_ctf_dir_24725414_74.txt"
