""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"reference"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"signature source url"	"comments and additional details"	"gene signature is a model"	"Fletcher et al. (2009) Transcriptional profiling of mycobacterial antigen-induced responses in infants vaccinated with BCG at birth. BMC Med Genomics PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=19239680' target='_blank'>19239680</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"signature response component (genes) file"	"complete signature response components including non-HGNC genes"
""	"hipc_gene_19239680_4"	"2009.02"	"hipc_gene_19239680_4"	"peripheral blood mononuclear cell"	"ASAH1"	"gene expression"	"down"	"none"	"10"	"weeks"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"mycobacterium bovis BCG"	""	"BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003129"	"12 hour purified protein derivative of tuberculin (PPD)-stimulated PBMC"	"infants (10w)"	"19239680"	"2009"	"Additional File 2, Tab B PPD"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2654906/bin/1755-8794-2-10-S2.xls' target='_blank'>1755-8794-2-10-S2.xls</a>"	"PBMCs drawn at 10 weeks following immunization at birth"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19239680"	"infants"	"10"	"10"	"weeks"	"4"	"144"	"ASAH1"	"181"	"hipc_gene_sig_19239680_4.txt"	"hipc_gene_sig_complete_19239680_4.txt"
""	"hipc_gene_19239680_4"	"2009.02"	"hipc_gene_19239680_4"	"peripheral blood mononuclear cell"	"ATP6AP2"	"gene expression"	"down"	"none"	"10"	"weeks"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"mycobacterium bovis BCG"	""	"BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003129"	"12 hour purified protein derivative of tuberculin (PPD)-stimulated PBMC"	"infants (10w)"	"19239680"	"2009"	"Additional File 2, Tab B PPD"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2654906/bin/1755-8794-2-10-S2.xls' target='_blank'>1755-8794-2-10-S2.xls</a>"	"PBMCs drawn at 10 weeks following immunization at birth"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19239680"	"infants"	"10"	"10"	"weeks"	"4"	"144"	"ATP6AP2"	"181"	"hipc_gene_sig_19239680_4.txt"	"hipc_gene_sig_complete_19239680_4.txt"
""	"hipc_gene_19239680_4"	"2009.02"	"hipc_gene_19239680_4"	"peripheral blood mononuclear cell"	"CD151"	"gene expression"	"down"	"none"	"10"	"weeks"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"mycobacterium bovis BCG"	""	"BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003129"	"12 hour purified protein derivative of tuberculin (PPD)-stimulated PBMC"	"infants (10w)"	"19239680"	"2009"	"Additional File 2, Tab B PPD"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2654906/bin/1755-8794-2-10-S2.xls' target='_blank'>1755-8794-2-10-S2.xls</a>"	"PBMCs drawn at 10 weeks following immunization at birth"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19239680"	"infants"	"10"	"10"	"weeks"	"4"	"144"	"CD151"	"181"	"hipc_gene_sig_19239680_4.txt"	"hipc_gene_sig_complete_19239680_4.txt"
""	"hipc_gene_19239680_4"	"2009.02"	"hipc_gene_19239680_4"	"peripheral blood mononuclear cell"	"FTL"	"gene expression"	"down"	"none"	"10"	"weeks"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"mycobacterium bovis BCG"	""	"BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003129"	"12 hour purified protein derivative of tuberculin (PPD)-stimulated PBMC"	"infants (10w)"	"19239680"	"2009"	"Additional File 2, Tab B PPD"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2654906/bin/1755-8794-2-10-S2.xls' target='_blank'>1755-8794-2-10-S2.xls</a>"	"PBMCs drawn at 10 weeks following immunization at birth"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19239680"	"infants"	"10"	"10"	"weeks"	"4"	"144"	"FTL"	"181"	"hipc_gene_sig_19239680_4.txt"	"hipc_gene_sig_complete_19239680_4.txt"
""	"hipc_gene_19239680_4"	"2009.02"	"hipc_gene_19239680_4"	"peripheral blood mononuclear cell"	"VIM"	"gene expression"	"down"	"none"	"10"	"weeks"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"mycobacterium bovis BCG"	""	"BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003129"	"12 hour purified protein derivative of tuberculin (PPD)-stimulated PBMC"	"infants (10w)"	"19239680"	"2009"	"Additional File 2, Tab B PPD"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2654906/bin/1755-8794-2-10-S2.xls' target='_blank'>1755-8794-2-10-S2.xls</a>"	"PBMCs drawn at 10 weeks following immunization at birth"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19239680"	"infants"	"10"	"10"	"weeks"	"4"	"144"	"VIM"	"181"	"hipc_gene_sig_19239680_4.txt"	"hipc_gene_sig_complete_19239680_4.txt"
