""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_21357945_3"	"2011.04"	"hipc_gene_21357945_3"	"peripheral blood mononuclear cell"	"STAT1"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with titer response index (TRI)"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"STAT1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_3.txt"	"hipc_gene_sig_complete_21357945_3.txt"
""	"hipc_gene_21357945_3"	"2011.04"	"hipc_gene_21357945_3"	"peripheral blood mononuclear cell"	"IRF9"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with titer response index (TRI)"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"IRF9"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_3.txt"	"hipc_gene_sig_complete_21357945_3.txt"
""	"hipc_gene_21357945_3"	"2011.04"	"hipc_gene_21357945_3"	"peripheral blood mononuclear cell"	"SPI1"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with titer response index (TRI)"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"SPI1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_3.txt"	"hipc_gene_sig_complete_21357945_3.txt"
""	"hipc_gene_21357945_3"	"2011.04"	"hipc_gene_21357945_3"	"peripheral blood mononuclear cell"	"CD74"	"gene expression"	"positively"	"high responders"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with titer response index (TRI)"	"2008"	"Fluarix; Fluvirin"	""	"Caucasian male adults (18-40) "	"21357945"	"2011"	"Table 1"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"3"	"10"	"CD74"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_21357945_3.txt"	"hipc_gene_sig_complete_21357945_3.txt"
