""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"signature source figure, table or text section "	"signature source url"	"comments and additional details"	"gene signature is a model"	"Franco et al. (2013) Integrative genomic analysis of the human immune response to influenza vaccination. Elife PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721' target='_blank'>23878721</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"target pathogen 4"	"signature response component (genes) file"	" signature response components including non-HGNC genes"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"PARP12"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"PARP12"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"PSMB9"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"PSMB9"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"IRF7"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"IRF7"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
""	"hipc_gene_23878721_3"	"2013.07"	"hipc_gene_23878721_3"	"blood"	"IFI35"	"gene expression"	"positively"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"249"	"IFI35"	"129"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_3.txt"	"hipc_gene_sig_complete_23878721_3.txt"
