""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Franco et al. (2013) Integrative genomic analysis of the human immune response to influenza vaccination. Elife PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721' target='_blank'>23878721</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"target pathogen 4"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_23878721_8"	"2013.07"	"hipc_gene_23878721_8"	"blood"	"NEXN"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"8"	"248"	"NEXN"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_8.txt"	"hipc_gene_sig_complete_23878721_8.txt"
""	"hipc_gene_23878721_8"	"2013.07"	"hipc_gene_23878721_8"	"blood"	"DNASE1L1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"8"	"248"	"DNASE1L1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_8.txt"	"hipc_gene_sig_complete_23878721_8.txt"
""	"hipc_gene_23878721_8"	"2013.07"	"hipc_gene_23878721_8"	"blood"	"TIPRL"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"8"	"248"	"TIPRL"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_8.txt"	"hipc_gene_sig_complete_23878721_8.txt"
""	"hipc_gene_23878721_8"	"2013.07"	"hipc_gene_23878721_8"	"blood"	"GPBAR1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with antibody response"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"adults (18-40)"	"23878721"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"8"	"248"	"GPBAR1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_23878721_8.txt"	"hipc_gene_sig_complete_23878721_8.txt"
