""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"vaccine"	"vaccine"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Li et al. (2014) Molecular signatures of antibody responses derived from a systems biology study of five human vaccines. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226' target='_blank'>24336226</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"IL1R2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"IL1R2"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"CD9"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"CD9"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"CD1B"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"CD1B"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"CD1C"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"CD1C"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"PCTP"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"PCTP"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"HLA-DPB1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"HLA-DPB1"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"HLA-DPA1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"HLA-DPA1"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"HLA-DQB1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"HLA-DQB1"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"HLA-DRA"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"HLA-DRA1"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"HLA-DRB1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"HLA-DRB1"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"CD74"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"CD74"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"HLA-A"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"HLA-A"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"HLA-C"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"HLA-C"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
""	"hipc_gene_cor_24336226"	"2014.02"	"hipc_gene_cor_2"	"peripheral blood mononuclear cell"	"HLA-E"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Supplementary Fig 13"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"9"	"23"	"HLA-E"	"VO_0010727"	"VO_0000071"	"hipc_gene_cor_24336226_23.txt"	"hipc_gene_cor_complete_24336226_23.txt"
