""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"vaccine"	"vaccine"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Hoft et al. (2016) Safety and Immunogenicity of the Recombinant BCG Vaccine AERAS-422 in Healthy BCG-naïve Adults: A Randomized, Active-controlled, First-in-human Phase 1 Trial. EBioMedicine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481' target='_blank'>27322481</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"positively"	"high and low dose"	"0"	"Days"	"mycobacterium bovis BCG"	""	"rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"1"	"164"	"IL1B"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_164.txt"	"hipc_gene_cor_complete_27322481_164.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"positively"	"high and low dose"	"56"	"Days"	"mycobacterium bovis BCG"	""	"rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"2"	"165"	"IL1B"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_165.txt"	"hipc_gene_cor_complete_27322481_165.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"positively"	"high and low dose"	"84"	"Days"	"mycobacterium bovis BCG"	""	"rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"3"	"166"	"IL1B"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_166.txt"	"hipc_gene_cor_complete_27322481_166.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"positively"	"none"	"0"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"4"	"167"	"IL1B"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_167.txt"	"hipc_gene_cor_complete_27322481_167.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"positively"	"none"	"56"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"5"	"168"	"IL1B"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_168.txt"	"hipc_gene_cor_complete_27322481_168.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"positively"	"none"	"84"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"6"	"169"	"IL1B"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_169.txt"	"hipc_gene_cor_complete_27322481_169.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"IL12RB2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"IL12RB2"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"SPIRE1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"SPIRE1"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"CACNA2D2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"CACNA2D2"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"GZMH"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"GZMH"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"RNF165"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"RNF165"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"PRSS23"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"PRSS23"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
""	"hipc_gene_cor_27322481"	"2016.05"	"hipc_gene_cor_26"	"peripheral blood mononuclear cell"	"PDGFD"	"gene expression"	"negatively"	"none"	"14"	"Days"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"PDGFD"	"VO_0004757"	"VO_0000103"	"hipc_gene_cor_27322481_170.txt"	"hipc_gene_cor_complete_27322481_170.txt"
