""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Ovsyannikova et al. (2016) Gene signatures related to HAI response following influenza A/H1N1 vaccine in older individuals. Heliyon PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275' target='_blank'>27441275</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_cor_27441275"	"2016.05"	"hipc_gene_cor_15"	"peripheral blood mononuclear cell"	"IFNG"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"correlated with HAI response"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"7"	"97"	"IFNG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_27441275_97.txt"	"hipc_gene_cor_complete_27441275_97.txt"
""	"hipc_gene_cor_27441275"	"2016.05"	"hipc_gene_cor_15"	"peripheral blood mononuclear cell"	"CCR5"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"correlated with HAI response"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"7"	"97"	"CCR5"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_27441275_97.txt"	"hipc_gene_cor_complete_27441275_97.txt"
""	"hipc_gene_cor_27441275"	"2016.05"	"hipc_gene_cor_15"	"peripheral blood mononuclear cell"	"IL10RA"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"correlated with HAI response"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"7"	"97"	"IL10RA"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_27441275_97.txt"	"hipc_gene_cor_complete_27441275_97.txt"
""	"hipc_gene_cor_27441275"	"2016.05"	"hipc_gene_cor_15"	"peripheral blood mononuclear cell"	"CCR9"	"gene expression"	"negatively"	"none"	"28"	"Days"	"2010"	"Fluarix"	"VO_0000045"	""	"correlated with HAI response"	"time of vaccination (first dose)"	"adults (55-64)"	"27441275"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27441275"	"adults, seniors"	"55"	"64"	"years"	"8"	"98"	"CCR9"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_27441275_98.txt"	"hipc_gene_cor_complete_27441275_98.txt"
