""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Weinberger et al. (2018) Impaired Immune Response to Primary but Not to Booster Vaccination Against Hepatitis B in Older Adults. Front Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=29868000' target='_blank'>29868000</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_cor_29868000"	"2018.05"	"hipc_gene_cor_45"	"blood"	"CD8A"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"adults, seniors"	"20"	"84"	"years"	"1"	"371"	"CD8A"	"hipc_gene_cor_29868000_371.txt"	"hipc_gene_cor_complete_29868000_371.txt"
""	"hipc_gene_cor_29868000"	"2018.05"	"hipc_gene_cor_45"	"blood"	"CD14"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"adults, seniors"	"20"	"84"	"years"	"1"	"371"	"CD14"	"hipc_gene_cor_29868000_371.txt"	"hipc_gene_cor_complete_29868000_371.txt"
""	"hipc_gene_cor_29868000"	"2018.05"	"hipc_gene_cor_45"	"blood"	"IFITM1"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"adults, seniors"	"20"	"84"	"years"	"1"	"371"	"IFITM1"	"hipc_gene_cor_29868000_371.txt"	"hipc_gene_cor_complete_29868000_371.txt"
""	"hipc_gene_cor_29868000"	"2018.05"	"hipc_gene_cor_45"	"blood"	"IFITM3"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"adults, seniors"	"20"	"84"	"years"	"1"	"371"	"IFITM3"	"hipc_gene_cor_29868000_371.txt"	"hipc_gene_cor_complete_29868000_371.txt"
