"observation_tier"	"template_name"	"observation_summary"	"story_title"	"submission_name"	"submission_description"	"project"	"submission_story"	"submission_story_rank"	"submission_center"	"principal_investigator"
1	"hipc_gene_dir_1"	"In <tissue_type>, <response_component> <response_component_type> was significantly <response_behavior>-regulated in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material_1> and/or <exposure_material_2> targeting <target_pathogen_1>, <target_pathogen_2> and/or <target_pathogen_3>"	""	"hipc_gene_dir_21357945"	"Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>"	"Gene expression response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_gene_dir_2"	"In <tissue_type>, <response_component> <response_component_type> was significantly <response_behavior>-regulated in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material_1> and/or <exposure_material_2> targeting <target_pathogen>"	""	"hipc_gene_dir_24336226"	"Li et al. (2014) Molecular signatures of antibody responses derived from a systems biology study of five human vaccines. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226' target='_blank'>24336226</a>"	"Gene expression response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_gene_dir_3"	"In <tissue_type>, <response_component> <response_component_type> was significantly <response_behavior>-regulated in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material_1> and/or <exposure_material_2> targeting <target_pathogen>"	""	"hipc_gene_dir_19047440"	"Gaucher et al. (2008) Yellow fever vaccine induces integrated multilineage and polyfunctional immune responses. J. Exp. Med. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=19047440' target='_blank'>19047440</a>"	"Gene expression response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_gene_dir_4"	"In <tissue_type>, <response_component> <response_component_type> was significantly <response_behavior>-regulated in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_gene_dir_28854372"	"Rechtien et al. (2017) Systems Vaccinology Identifies an Early Innate Immune Signature as a Correlate of Antibody Responses to the Ebola Vaccine rVSV-ZEBOV. Cell Rep PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28854372' target='_blank'>28854372</a>"	"Gene expression response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_gene_dir_5"	"In <tissue_type>, <response_component> <response_component_type> was significantly <response_behavior>-regulated in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material_1> and/or <exposure_material_2> targeting <target_pathogen_1>, <target_pathogen_2> and/or <target_pathogen_3>"	""	"hipc_gene_dir_26755593"	"Nakaya et al. (2016) Systems biology of immunity to MF59-adjuvanted versus nonadjuvanted trivalent seasonal influenza vaccines in early childhood. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593' target='_blank'>26755593</a>"	"Gene expression response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_gene_dir_6"	"In <tissue_type>, <response_component> <response_component_type> was significantly <response_behavior>-regulated in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_gene_dir_26726811"	"Sobolev et al. (2016) Adjuvanted influenza-H1N1 vaccination reveals lymphoid signatures of age-dependent early responses and of clinical adverse events. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811' target='_blank'>26726811</a>"	"Gene expression response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_gene_dir_7"	"In <tissue_type>, <response_component> <response_component_type> was significantly <response_behavior>-regulated in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_gene_dir_23151505"	"Zak et al. (2012) Merck Ad5/HIV induces broad innate immune activation that predicts CD8⁺ T-cell responses but is attenuated by preexisting Ad5 immunity. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505' target='_blank'>23151505</a>"	"Gene expression response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_gene_dir_8"	"In <tissue_type>, <response_component> <response_component_type> was significantly <response_behavior>-regulated in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_gene_dir_28502771"	"Li et al. (2017) Metabolic Phenotypes of Response to Vaccination in Humans. Cell PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28502771' target='_blank'>28502771</a>"	"Gene expression response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_gene_dir_9"	"In <tissue_type>, <response_component> <response_component_type> was significantly <response_behavior>-regulated in cohort <cohort> for the comparison <comparison> after exposure to <exposure_material_1> and/or <exposure_material_2> targeting <target_pathogen>"	""	"hipc_gene_dir_20078211"	"Vahey et al. (2010) Expression of genes associated with immunoproteasome processing of major histocompatibility complex peptides is indicative of protection with adjuvanted RTS,S malaria vaccine. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=20078211' target='_blank'>20078211</a>"	"Gene expression response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipc_gene_dir_10"	"In <tissue_type>, <response_component> <response_component_type> was significantly <response_behavior>-regulated in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> targeting <target_pathogen>"	""	"hipc_gene_dir_28193898"	"Kazmin et al. (2017) Systems analysis of protective immune responses to RTS,S malaria vaccination in humans. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898' target='_blank'>28193898</a>"	"Gene expression response to vaccine exposure (up or down)"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
