""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"vaccine"	"vaccine"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Vahey et al. (2010) Expression of genes associated with immunoproteasome processing of major histocompatibility complex peptides is indicative of protection with adjuvanted RTS,S malaria vaccine. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=20078211' target='_blank'>20078211</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_20078211"	"2010.02"	"hipc_gene_dir_9"	"peripheral blood mononuclear cell"	"PSME2"	"gene expression"	"up"	"none"	"2"	"Weeks"	"plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"vaccinated vs control"	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	""	""	""	""	"1"	"72"	"PSME2"	"VO_0003093"	"VO_0000774"	"hipc_gene_dir_20078211_72.txt"	"hipc_gene_dir_complete_20078211_72.txt"
""	"hipc_gene_dir_20078211"	"2010.02"	"hipc_gene_dir_9"	"peripheral blood mononuclear cell"	"PSMA4"	"gene expression"	"up"	"none"	"2"	"Weeks"	"plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"vaccinated vs control"	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	""	""	""	""	"1"	"72"	"PSMA4"	"VO_0003093"	"VO_0000774"	"hipc_gene_dir_20078211_72.txt"	"hipc_gene_dir_complete_20078211_72.txt"
""	"hipc_gene_dir_20078211"	"2010.02"	"hipc_gene_dir_9"	"peripheral blood mononuclear cell"	"PSMB6"	"gene expression"	"up"	"none"	"2"	"Weeks"	"plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"vaccinated vs control"	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	""	""	""	""	"1"	"72"	"PSMB6"	"VO_0003093"	"VO_0000774"	"hipc_gene_dir_20078211_72.txt"	"hipc_gene_dir_complete_20078211_72.txt"
""	"hipc_gene_dir_20078211"	"2010.02"	"hipc_gene_dir_9"	"peripheral blood mononuclear cell"	"PSMB9"	"gene expression"	"up"	"none"	"2"	"Weeks"	"plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"vaccinated vs control"	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	""	""	""	""	"1"	"72"	"PSMB9"	"VO_0003093"	"VO_0000774"	"hipc_gene_dir_20078211_72.txt"	"hipc_gene_dir_complete_20078211_72.txt"
