""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Erwin-Cohen et al. (2012) Host responses to live-attenuated Venezuelan equine encephalitis virus (TC-83): comparison of naïve, vaccine responder and nonresponder to TC-83 challenge in human peripheral blood mononuclear cells. Hum Vaccin Immunother PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=22617845' target='_blank'>22617845</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_22617845"	"2012.08"	"hipc_gene_dir_17"	"peripheral blood mononuclear cell"	"HLA-DOB"	"gene expression"	"up"	"non-responders"	"2 to 10"	"Months"	"venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"In vivo vs In vitro"	"time of vaccination (first dose)"	"adults (18-45)"	"22617845"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22617845"	"adults"	"18"	"45"	"years"	"1"	"105"	"HLA-DOB"	"hipc_gene_dir_22617845_105.txt"	"hipc_gene_dir_complete_22617845_105.txt"
""	"hipc_gene_dir_22617845"	"2012.08"	"hipc_gene_dir_17"	"peripheral blood mononuclear cell"	"HLA-G"	"gene expression"	"up"	"none"	"1"	"Day"	"venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"22617845"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22617845"	"adults"	"18"	"45"	"years"	"2"	"106"	"HLA-G"	"hipc_gene_dir_22617845_106.txt"	"hipc_gene_dir_complete_22617845_106.txt"
""	"hipc_gene_dir_22617845"	"2012.08"	"hipc_gene_dir_17"	"peripheral blood mononuclear cell"	"HLA-G"	"gene expression"	"up"	"responders"	"2 to 10"	"Months"	"venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"In vivo vs In vitro"	"time of vaccination (first dose)"	"adults (18-45)"	"22617845"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22617845"	"adults"	"18"	"45"	"years"	"3"	"107"	"HLA-G"	"hipc_gene_dir_22617845_107.txt"	"hipc_gene_dir_complete_22617845_107.txt"
""	"hipc_gene_dir_22617845"	"2012.08"	"hipc_gene_dir_17"	"peripheral blood mononuclear cell"	"OAS1"	"gene expression"	"up"	"none"	"1"	"Days"	"venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"treated vs before treatment"	"time of vaccination (first dose)"	"adults (18-45)"	"22617845"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22617845"	"adults"	"18"	"45"	"years"	"4"	"108"	"OAS1"	"hipc_gene_dir_22617845_108.txt"	"hipc_gene_dir_complete_22617845_108.txt"
