""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Kennedy et al. (2013) Transcriptomic profiles of high and low antibody responders to smallpox vaccine. Genes Immun. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957' target='_blank'>23594957</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"CXCL6"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"CXCL6"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"ARNT2"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"ARNT2"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"PDPN"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"PDPN"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"CD14"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"CD14"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"S100A8"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"S100A8"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"TREML4"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"TREML4"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"S100A9"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"S100A9"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"PDCD1LG2"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"PDCD1LG2"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"THBS1"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"THBS1"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"SIRPB2"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"SIRPB2"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"MPEG1"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"MPEG1"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"GPR84"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"GPR84"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
""	"hipc_gene_dir_23594957"	"2013.07"	"hipc_gene_dir_23"	"peripheral blood mononuclear cell"	"DCANP1"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	""	"Dryvax"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"23594957"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"DCANP1"	"VO_0000035"	"VO_0000433"	"vaccinia virus"	"variola virus"	"hipc_gene_dir_23594957_142.txt"	"hipc_gene_dir_complete_23594957_142.txt"
