""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Panapasa et al. (2015) The expression of B &amp; T cell activation markers in children's tonsils following live attenuated influenza vaccine. Hum Vaccin Immunother PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26148331' target='_blank'>26148331</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"APC"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"1"	"449"	"APC"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_449.txt"	"hipc_gene_dir_complete_26148331_449.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"CD3G"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"1"	"449"	"CD3G"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_449.txt"	"hipc_gene_dir_complete_26148331_449.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"FASLG"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"1"	"449"	"FASLG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_449.txt"	"hipc_gene_dir_complete_26148331_449.txt"
""	"hipc_gene_dir_26148331"	"2015.07"	"hipc_gene_dir_59"	"blood"	"IL7"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"children"	"3"	"17"	"years"	"1"	"449"	"IL7"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Massachusetts/02/2012)"	"hipc_gene_dir_26148331_449.txt"	"hipc_gene_dir_complete_26148331_449.txt"
