""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Osman et al. (2017) A third generation vaccine for human visceral leishmaniasis and post kala azar dermal leishmaniasis: First-in-human trial of ChAd63-KH. PLoS Negl Trop Dis PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28498840' target='_blank'>28498840</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_28498840"	"2017.05"	"hipc_gene_dir_43"	"blood"	"CABIN1"	"gene expression"	"down"	"none"	"24"	"hours"	"leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"adullts (18-50)"	"28498840"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"adults"	"18"	"50"	"years"	"1"	"361"	"CABIN1"	"hipc_gene_dir_28498840_361.txt"	"hipc_gene_dir_complete_28498840_361.txt"
""	"hipc_gene_dir_28498840"	"2017.05"	"hipc_gene_dir_43"	"blood"	"ZNF600"	"gene expression"	"down"	"none"	"24"	"hours"	"leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"adullts (18-50)"	"28498840"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"adults"	"18"	"50"	"years"	"1"	"361"	"ZNF600"	"hipc_gene_dir_28498840_361.txt"	"hipc_gene_dir_complete_28498840_361.txt"
""	"hipc_gene_dir_28498840"	"2017.05"	"hipc_gene_dir_43"	"blood"	"SESN1"	"gene expression"	"down"	"none"	"24"	"hours"	"leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"adullts (18-50)"	"28498840"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"adults"	"18"	"50"	"years"	"1"	"361"	"SESN1"	"hipc_gene_dir_28498840_361.txt"	"hipc_gene_dir_complete_28498840_361.txt"
""	"hipc_gene_dir_28498840"	"2017.05"	"hipc_gene_dir_43"	"blood"	"ADAMTS5"	"gene expression"	"down"	"none"	"24"	"hours"	"leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"adullts (18-50)"	"28498840"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"adults"	"18"	"50"	"years"	"1"	"361"	"ADAMTS5"	"hipc_gene_dir_28498840_361.txt"	"hipc_gene_dir_complete_28498840_361.txt"
