""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"exposure_material_3"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"vaccine"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Cole et al. (2017) Differential gene expression elicited by children in response to the 2015-16 live attenuated versus inactivated influenza vaccine. Vaccine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=29132989' target='_blank'>29132989</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"exposure material 3 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"target pathogen 4"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"IL4"	"gene expression"	"down"	"none"	"7"	"days"	"2015"	"Fluzone; Fluarix (IIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"1"	"393"	"IL4"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_393.txt"	"hipc_gene_dir_complete_29132989_393.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"CXCL8"	"gene expression"	"down"	"none"	"7"	"days"	"2015"	"Fluzone; Fluarix (IIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"1"	"393"	"IL8"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_393.txt"	"hipc_gene_dir_complete_29132989_393.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"CCL2"	"gene expression"	"down"	"none"	"7"	"days"	"2015"	"Fluzone; Fluarix (IIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"1"	"393"	"CCL2"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_393.txt"	"hipc_gene_dir_complete_29132989_393.txt"
""	"hipc_gene_dir_29132989"	"2017.12"	"hipc_gene_dir_51"	"blood"	"IFNA1"	"gene expression"	"down"	"none"	"7"	"days"	"2015"	"Fluzone; Fluarix (IIV)"	""	"7d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"29132989"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"1"	"393"	"IFNA1"	"VO_0000047"	"VO_0000045"	"VO_0000982"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_29132989_393.txt"	"hipc_gene_dir_complete_29132989_393.txt"
