""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Scherer et al. (2007) Distinct gene expression profiles in peripheral blood mononuclear cells from patients infected with vaccinia virus, yellow fever 17D virus, or upper respiratory infections. Vaccine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872' target='_blank'>17651872</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20071012-hipciof_ctf_17651872"	"2007.10.12"	"hipciof_ctf_15"	"peripheral blood mononuclear cell"	"red blood cell"	"erythrocyte"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"1"	"59"
""	"20071012-hipciof_ctf_17651872"	"2007.10.12"	"hipciof_ctf_15"	"peripheral blood mononuclear cell"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"1"	"59"
""	"20071012-hipciof_ctf_17651872"	"2007.10.12"	"hipciof_ctf_15"	"peripheral blood mononuclear cell"	"neutrophil"	"neutrophil"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"1"	"59"
""	"20071012-hipciof_ctf_17651872"	"2007.10.12"	"hipciof_ctf_15"	"peripheral blood mononuclear cell"	"lymphocyte"	"lymphocyte"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"1"	"59"
""	"20071012-hipciof_ctf_17651872"	"2007.10.12"	"hipciof_ctf_15"	"peripheral blood mononuclear cell"	"eosinophil"	"eosinophil"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"1"	"59"
