""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Zak et al. (2013) Merck Ad5/HIV induces broad innate immune activation that predicts CD8⁺ T-cell responses but is attenuated by preexisting Ad5 immunity. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505' target='_blank'>23151505</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response agents file"
""	"20130228-hipciof_ctf_23151505"	"2013.02.28"	"hipciof_ctf_7"	"peripheral blood mononuclear cell"	"B cell"	"B cell"	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"	"1"	"25"	"hipciof_ctf_23151505_25.txt"
""	"20130228-hipciof_ctf_23151505"	"2013.02.28"	"hipciof_ctf_7"	"peripheral blood mononuclear cell"	"CD14-positive, CD16-negative classical monocyte"	"CD14-positive, CD16-negative classical monocyte"	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"	"1"	"25"	"hipciof_ctf_23151505_25.txt"
""	"20130228-hipciof_ctf_23151505"	"2013.02.28"	"hipciof_ctf_7"	"peripheral blood mononuclear cell"	"CD4-positive, alpha-beta T cell"	"CD4-positive, alpha-beta T cell"	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"	"1"	"25"	"hipciof_ctf_23151505_25.txt"
""	"20130228-hipciof_ctf_23151505"	"2013.02.28"	"hipciof_ctf_7"	"peripheral blood mononuclear cell"	"CD16-positive, CD56-dim natural killer cell"	"CD16-positive, CD56-dim natural killer cell"	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Human immunodeficiency virus 1"	""	"MRKAd5/HIV"	"VO_0003133"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (20-50)"	"23151505"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505"	"1"	"25"	"hipciof_ctf_23151505_25.txt"
