""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"fully_qualified_response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"all response agents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Figure or table or text section containing signature"	"comment"	"Obermoser et al. (2013) Systems scale interactive exploration reveals quantitative and qualitative differences in response to influenza and pneumococcal vaccines. Immunity PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689' target='_blank'>23601689</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response agents file"
""	"20130709-hipciof_ctf_23601689"	"2013.07.09"	"hipciof_ctf_3"	"blood"	"leukocyte"	"leukocyte"	""	"leukocyte"	"cell type frequency"	"up"	"none"	"1"	"Days"	"streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"1"	"13"	"hipciof_ctf_23601689_13.txt"
""	"20130709-hipciof_ctf_23601689"	"2013.07.09"	"hipciof_ctf_3"	"blood"	"neutrophil"	"neutrophil"	""	"neutrophil"	"cell type frequency"	"up"	"none"	"1"	"Days"	"streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"1"	"13"	"hipciof_ctf_23601689_13.txt"
""	"20130709-hipciof_ctf_23601689"	"2013.07.09"	"hipciof_ctf_3"	"blood"	"B cell"	"B cell"	""	"B cell"	"cell type frequency"	"up"	"none"	"7"	"Days"	"streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"2"	"14"	"hipciof_ctf_23601689_14.txt"
""	"20130709-hipciof_ctf_23601689"	"2013.07.09"	"hipciof_ctf_3"	"blood"	"plasmablast"	"plasmablast"	""	"plasmablast"	"cell type frequency"	"up"	"none"	"7"	"Days"	"streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"2"	"14"	"hipciof_ctf_23601689_14.txt"
