""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"fully_qualified_response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"all response agents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Cao et al. (2014) Differences in antibody responses between trivalent inactivated influenza vaccine and live attenuated influenza vaccine correlate with the kinetics and magnitude of interferon signaling in children. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909' target='_blank'>24495909</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response agents file"
""	"20140822-hipciof_ctf_24495909"	"2014.08.22"	"hipciof_ctf_23"	"blood"	"naive B cells (CD19-positive, IgD-negative, CD27-negative) (CL_0000788)"	"naive B cell"	""	"naive B cell"	"cell type frequency"	"up"	"none"	"27-33"	"Days"	"2010"	"Fluzone"	"VO_0000047"	""	"(27-33d)-0d"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"Fig 1"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"1"	"79"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_ctf_24495909_79.txt"
""	"20140822-hipciof_ctf_24495909"	"2014.08.22"	"hipciof_ctf_23"	"blood"	"memory B cells (CD19-positive, IgD-negative, CD27-positive) (CL_0001053)"	"IgD-negative memory B cell"	""	"IgD-negative memory B cell"	"cell type frequency"	"up"	"none"	"27-33"	"Days"	"2010"	"Fluzone"	"VO_0000047"	""	"(27-33d)-0d"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"Fig 1"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"1"	"79"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_ctf_24495909_79.txt"
""	"20140822-hipciof_ctf_24495909"	"2014.08.22"	"hipciof_ctf_23"	"blood"	"transitional B cells (CD19-positive, CD24-positive, CD38-positive) (CL_0000818)"	"transitional stage B cell"	""	"transitional stage B cell"	"cell type frequency"	"up"	"none"	"27-33"	"Days"	"2010"	"Fluzone"	"VO_0000047"	""	"(27-33d)-0d"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"Fig 1"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"1"	"79"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_ctf_24495909_79.txt"
""	"20140822-hipciof_ctf_24495909"	"2014.08.22"	"hipciof_ctf_23"	"blood"	"plasmablasts (CD19-positive, CD27-positive, CD38-positive)"	"plasmablast"	""	"plasmablast"	"cell type frequency"	"up"	"none"	"43318"	"Days"	"2010"	"Fluzone"	"VO_0000047"	""	"(6-8)d-0d"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"Fig 1"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"2"	"80"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_ctf_24495909_80.txt"
