""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"fully_qualified_response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	""	""	""	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"all response agents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Figure or table or text section containing signature"	"comment"	"Nakaya et al. (2016) Systems Analysis of Immunity to Influenza Vaccination across Multiple Years and in Diverse Populations Reveals Shared Molecular Signatures. Immunity PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988' target='_blank'>26682988</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response agents file"
""	"20160506-hipciof_ctf_26682988"	"2016.05.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	"natural killer cell"	"cell type frequency"	"up"	"2010 season"	"1"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"1"	"86"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_ctf_26682988_86.txt"
""	"20160506-hipciof_ctf_26682988"	"2016.05.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"CD56++ NK cells"	"natural killer cell"	"& CD56++"	"natural killer cell & CD56++"	"cell type frequency"	"up"	"2010 season"	"7"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (<65yrs)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"10"	"95"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_ctf_26682988_95.txt"
""	"20160506-hipciof_ctf_26682988"	"2016.05.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"CD56++CD16+ NK cells"	"natural killer cell"	"& CD56++, CD16+"	"natural killer cell & CD56++, CD16+"	"cell type frequency"	"up"	"2010 season"	"7"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (<65yrs)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"10"	"95"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_ctf_26682988_95.txt"
""	"20160506-hipciof_ctf_26682988"	"2016.05.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"CD56dimCD16++ NK cells"	"CD16-positive, CD56-dim natural killer cell"	"& CD16++"	"CD16-positive, CD56-dim natural killer cell & CD16++"	"cell type frequency"	"up"	"2010 season"	"1"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"11"	"96"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_ctf_26682988_96.txt"
""	"20160506-hipciof_ctf_26682988"	"2016.05.06"	"hipciof_ctf_24"	"peripheral blood mononuclear cell"	"monocyte"	"monocyte"	""	"monocyte"	"cell type frequency"	"up"	"2010 season"	"1"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"seniors (>65yrs)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"15"	"100"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_ctf_26682988_100.txt"
