""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"fully_qualified_response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	""	""	""	""	""	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"all response agents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Figure or table or text section containing signature"	"comment"	"Nakaya et al. (2016) Systems biology of immunity to MF59-adjuvanted versus nonadjuvanted trivalent seasonal influenza vaccines in early childhood. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593' target='_blank'>26755593</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response agents file"
""	"20160722-hipciof_ctf_26755593"	"2016.07.22"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"interferon-gamma-positive T cells"	"T cell"	"& IFNG+"	"T cell & IFNG+"	"cell type frequency"	"up"	"none"	"56"	"Days"	"2012"	"Imuvac"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-26mo)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"2"	"19"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_ctf_26755593_19.txt"
""	"20160722-hipciof_ctf_26755593"	"2016.07.22"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-positive, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"& TNF-a, IL-2+"	"effector memory CD4-positive, alpha-beta T cell & TNF-a, IL-2+"	"cell type frequency"	"up"	"none"	"56"	"Days"	"2012"	"Fluad"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_ctf_26755593_20.txt"
""	"20160722-hipciof_ctf_26755593"	"2016.07.22"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-positive, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"& IFNG-, TNF-a+, IL-2+"	"effector memory CD4-positive, alpha-beta T cell & IFNG-, TNF-a+, IL-2+"	"cell type frequency"	"up"	"none"	"56"	"Days"	"2012"	"Fluad"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_ctf_26755593_20.txt"
""	"20160722-hipciof_ctf_26755593"	"2016.07.22"	"hipciof_ctf_5"	"peripheral blood mononuclear cell"	"intereferon-gamma-negative, tumor-necrosis-factor-alfa-positive, interleukin-2-negative, effector memory CD4-positive, alpha-beta T cell"	"effector memory CD4-positive, alpha-beta T cell"	"& IFNG-, TNF-a+, IL-2-"	"effector memory CD4-positive, alpha-beta T cell & IFNG-, TNF-a+, IL-2-"	"cell type frequency"	"up"	"none"	"56"	"Days"	"2012"	"Fluad"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"	"3"	"20"	"VO_0003144"	"VO_0004281"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipciof_ctf_26755593_20.txt"
