""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"fully_qualified_response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"exposure_material_1"	"exposure_material_2"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"vaccine"	"vaccine"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"all response agents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Giarola-Silva et al. (2018) Distinct patterns of cellular immune response elicited by influenza non-adjuvanted and AS03-adjuvanted monovalent H1N1(pdm09) vaccine. Antiviral Res. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28549970' target='_blank'>28549970</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response agents file"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"monocytes CD16+HLA-DR++CD14+"	"CD14-positive, CD16-positive monocyte"	"& HLA-DR++"	"CD14-positive, CD16-positive monocyte & HLA-DR++"	"cell type frequency"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"1"	"174"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_174.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"NK cells CD3-CD16+CD56+"	"natural killer cell"	"& CD56+, CD16+"	"natural killer cell & CD56+, CD16+"	"cell type frequency"	"down"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"2"	"175"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_175.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"NK cells CD3+CD16+CD56+"	"mature NK T cell"	"& CD56+, CD16+"	"mature NK T cell & CD56+, CD16+"	"cell type frequency"	"down"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"2"	"175"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_175.txt"
""	"20180329-hipciof_ctf_28549970"	"2018.03.29"	"hipciof_ctf_36"	"blood"	"B cells CD69+CD19+"	"B cell"	"& CD69+"	"B cell & CD69+"	"cell type frequency"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"3"	"176"	"VO_0000160"	"VO_0000410"	"hipciof_ctf_28549970_176.txt"
