""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication url"	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Measles virus strain Edmonston-Zagreb"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Measles virus strain Edmonston-Zagreb"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Corynebacterium diphtheriae"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Corynebacterium diphtheriae"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Clostridium tetani"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Clostridium tetani"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Human poliovirus 1"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000654"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
""	"20191009-hipciof_ctf_27436422"	"2019.10.09"	"hipciof_ctf_27"	"blood"	"white blood cell"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"Human poliovirus 1"	""	"Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine"	"VO_0000738"	""	"Measles and DTP groups vs other groups"	"time of vaccination (first dose)"	"infants (4mo)"	"27436422"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27436422"	"1"	"116"
