""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO terms"	"cell type extra details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Systems biology approach predicts immunogenicity of the yellow fever vaccine in humans."	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20191106-hipciof_ctf_19029902"	"2019.11.06"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"myeloid DC CD86+"	"myeloid dendritic cell"	""	""	"cell type frequency"	"up"	""	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-0d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"1"	"140"
""	"20191106-hipciof_ctf_19029902"	"2019.11.06"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"plasmacytoid dendritic cell"	"plasmacytoid dendritic cell"	""	""	"cell type frequency"	"up"	""	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-0d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"1"	"140"
""	"20191106-hipciof_ctf_19029902"	"2019.11.06"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"monocyte"	"monocyte"	""	""	"cell type frequency"	"up"	""	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-0d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"1"	"140"
""	"20191106-hipciof_ctf_19029902"	"2019.11.06"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"inflammatory monocyte CD14+ CD16+"	"CD14-positive, CD16-positive monocyte"	""	""	"cell type frequency"	"up"	""	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-0d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"1"	"140"
""	"20191106-hipciof_ctf_19029902"	"2019.11.06"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"myeloid DC CD86+"	"myeloid dendritic cell"	""	""	"cell type frequency"	"up"	""	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-1d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2"	"141"
""	"20191106-hipciof_ctf_19029902"	"2019.11.06"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"plasmacytoid dendritic cell"	"plasmacytoid dendritic cell"	""	""	"cell type frequency"	"up"	""	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-1d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2"	"141"
""	"20191106-hipciof_ctf_19029902"	"2019.11.06"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"monocyte"	"monocyte"	""	""	"cell type frequency"	"up"	""	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-1d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2"	"141"
""	"20191106-hipciof_ctf_19029902"	"2019.11.06"	"hipciof_ctf_30"	"peripheral blood mononuclear cell"	"inflammatory monocyte CD14+ CD16+"	"CD14-positive, CD16-positive monocyte"	""	""	"cell type frequency"	"up"	""	"7"	"days"	"Yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"7d-1d"	"Time of vaccination (first dose)"	"Adults (18-45)"	"19029902"	"2009"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2"	"141"
