"observation_tier"	"template_name"	"observation_summary"	"story_title"	"submission_name"	"submission_description"	"project"	"submission_story"	"submission_story_rank"	"submission_center"	"principal_investigator"
1	"hipciof_ctf_1"	"In <tissue_type>, the change in <response_agent><proterm_and_extra> frequency  was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> containing pathogen <target_pathogen>"	""	"20140401-hipciof_ctf_24336226"	"Li et al. (2014) Molecular signatures of antibody responses derived from a systems biology study of five human vaccines. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226'>24336226</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_2"	"In <tissue_type>, the change in <response_agent><proterm_and_extra> frequency  was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> containing pathogen <target_pathogen>"	""	"20130913-hipciof_ctf_23591775"	"Furman et al. (2013) Apoptosis and other immune biomarkers predict influenza vaccine responsiveness. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775'>23591775</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_3"	"In <tissue_type>, the change in <response_agent><proterm_and_extra> frequency  was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> containing pathogen <target_pathogen>"	""	"20130709-hipciof_ctf_23601689"	"Obermoser et al. (2013) Systems scale interactive exploration reveals quantitative and qualitative differences in response to influenza and pneumococcal vaccines. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689'>23601689</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_4"	"In <tissue_type>, the change in <response_agent><proterm_and_extra> frequency  was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> containing pathogen <target_pathogen>"	""	"20180430-hipciof_ctf_28854372"	"Rechtien et al. (2018) Systems Vaccinology Identifies an Early Innate Immune Signature as a Correlate of Antibody Responses to the Ebola Vaccine rVSV-ZEBOV. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28854372'>28854372</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_5"	"In <tissue_type>, the change in <response_agent><proterm_and_extra> frequency  was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> containing pathogen <target_pathogen>"	""	"20160722-hipciof_ctf_26755593"	"Nakaya et al. (2016) Systems biology of immunity to MF59-adjuvanted versus nonadjuvanted trivalent seasonal influenza vaccines in early childhood. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593'>26755593</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_6"	"In <tissue_type>, the change in <response_agent><proterm_and_extra> frequency  was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> containing pathogen <target_pathogen>"	""	"20160606-hipciof_ctf_26726811"	"Sobolev et al. (2016) Adjuvanted influenza-H1N1 vaccination reveals lymphoid signatures of age-dependent early responses and of clinical adverse events. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811'>26726811</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_7"	"In <tissue_type>, the change in <response_agent><proterm_and_extra> frequency  was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> containing pathogen <target_pathogen>"	""	"20130228-hipciof_ctf_23151505"	"Zak et al. (2013) Merck Ad5/HIV induces broad innate immune activation that predicts CD8⁺ T-cell responses but is attenuated by preexisting Ad5 immunity. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23151505'>23151505</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_8"	"In <tissue_type>, the change in <response_agent><proterm_and_extra> frequency  was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> containing pathogen <target_pathogen>"	""	"20180410-hipciof_ctf_28193898"	"Kazmin et al. (2018) Systems analysis of protective immune responses to RTS,S malaria vaccination in humans. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898'>28193898</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_9"	"In <tissue_type>, the change in <response_agent><proterm_and_extra> frequency  was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> containing pathogen <target_pathogen>"	""	"20140207-hipciof_ctf_23844129"	"Matsumiya et al. (2014) Roles for Treg expansion and HMGB1 signaling through the TLR1-2-6 axis in determining the magnitude of the antigen-specific immune response to MVA85A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129'>23844129</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_10"	"In <tissue_type>, the change in <response_agent><proterm_and_extra> frequency  was significantly <response_behavior> in subgroup <subgroup> of cohort <cohort> for the comparison <comparison> after exposure to <exposure_material> containing pathogen <target_pathogen>"	""	"20171016-hipciof_ctf_28687661"	"Hou et al. (2017) A Systems Vaccinology Approach Reveals Temporal Transcriptomic Changes of Immune Responses to the Yellow Fever 17D Vaccine. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661'>28687661</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
