""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Obermoser et al. (2013) Systems scale interactive exploration reveals quantitative and qualitative differences in response to influenza and pneumococcal vaccines. Immunity PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689' target='_blank'>23601689</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20130709-hipciof_ctf_corr_23601689"	"2013.07.09"	"hipciof_ctf_corr_3"	"blood"	"B cell"	"B cell"	""	"cell type frequency"	"positively"	"none"	"7"	"Days"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"2009"	"Fluzone"	"VO_0000047"	""	"correlated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"4"	"16"
""	"20130709-hipciof_ctf_corr_23601689"	"2013.07.09"	"hipciof_ctf_corr_3"	"blood"	"B cell"	"B cell"	""	"cell type frequency"	"positively"	"none"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluzone"	"VO_0000047"	""	"correlated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"4"	"16"
""	"20130709-hipciof_ctf_corr_23601689"	"2013.07.09"	"hipciof_ctf_corr_3"	"blood"	"B cell"	"B cell"	""	"cell type frequency"	"positively"	"none"	"7"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2009"	"Fluzone"	"VO_0000047"	""	"correlated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"4"	"16"
""	"20130709-hipciof_ctf_corr_23601689"	"2013.07.09"	"hipciof_ctf_corr_3"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"positively"	"none"	"7"	"Days"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"2009"	"Fluzone"	"VO_0000047"	""	"correlated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"4"	"16"
""	"20130709-hipciof_ctf_corr_23601689"	"2013.07.09"	"hipciof_ctf_corr_3"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"positively"	"none"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluzone"	"VO_0000047"	""	"correlated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"4"	"16"
""	"20130709-hipciof_ctf_corr_23601689"	"2013.07.09"	"hipciof_ctf_corr_3"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"positively"	"none"	"7"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2009"	"Fluzone"	"VO_0000047"	""	"correlated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"	"4"	"16"
