""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"fully_qualified_response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"all response agents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Furman et al. (2013) Apoptosis and other immune biomarkers predict influenza vaccine responsiveness. Mol. Syst. Biol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775' target='_blank'>23591775</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response agents file"
""	"20130913-hipciof_ctf_corr_23591775"	"2013.09.13"	"hipciof_ctf_corr_2"	"peripheral blood mononuclear cell"	"central memory CD4-positive, alpha-beta T cell"	"central memory CD4-positive, alpha-beta T cell"	""	"central memory CD4-positive, alpha-beta T cell"	"cell type frequency"	"negatively"	"none"	"28"	"Days"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults"	"23591775"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults"	""	""	""	"1"	"10"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_ctf_corr_23591775_10.txt"
""	"20130913-hipciof_ctf_corr_23591775"	"2013.09.13"	"hipciof_ctf_corr_2"	"peripheral blood mononuclear cell"	"effector memory CD8-positive, alpha-beta T cell"	"effector memory CD8-positive, alpha-beta T cell"	""	"effector memory CD8-positive, alpha-beta T cell"	"cell type frequency"	"negatively"	"none"	"28"	"Days"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults"	"23591775"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults"	""	""	""	"1"	"10"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_ctf_corr_23591775_10.txt"
""	"20130913-hipciof_ctf_corr_23591775"	"2013.09.13"	"hipciof_ctf_corr_2"	"peripheral blood mononuclear cell"	"CD8-positive, CD28-negative, alpha-beta regulatory T cell"	"CD8-positive, CD28-negative, alpha-beta regulatory T cell"	""	"CD8-positive, CD28-negative, alpha-beta regulatory T cell"	"cell type frequency"	"negatively"	"none"	"28"	"Days"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults"	"23591775"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults"	""	""	""	"1"	"10"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_ctf_corr_23591775_10.txt"
""	"20130913-hipciof_ctf_corr_23591775"	"2013.09.13"	"hipciof_ctf_corr_2"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	"natural killer cell"	"cell type frequency"	"negatively"	"none"	"28"	"Days"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults"	"23591775"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults"	""	""	""	"1"	"10"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_ctf_corr_23591775_10.txt"
