""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm_and_extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Cao et al. (2014) Differences in antibody responses between trivalent inactivated influenza vaccine and live attenuated influenza vaccine correlate with the kinetics and magnitude of interferon signaling in children. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909' target='_blank'>24495909</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20140822-hipciof_ctf_corr_24495909"	"2014.08.22"	"hipciof_ctf_corr_23"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Fluzone"	"VO_0000047"	""	"correlated with HI titer to H3N2 and B strains at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"82"
""	"20140822-hipciof_ctf_corr_24495909"	"2014.08.22"	"hipciof_ctf_corr_23"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Fluzone"	"VO_0000047"	""	"correlated with HI titer to H3N2 and B strains at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"82"
""	"20140822-hipciof_ctf_corr_24495909"	"2014.08.22"	"hipciof_ctf_corr_23"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluzone"	"VO_0000047"	""	"correlated with HI titer to H3N2 and B strains at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"82"
""	"20140822-hipciof_ctf_corr_24495909"	"2014.08.22"	"hipciof_ctf_corr_23"	"blood"	"plasma cell"	"plasma cell"	""	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Fluzone"	"VO_0000047"	""	"correlated with HI titer to H3N2 and B strains at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"82"
""	"20140822-hipciof_ctf_corr_24495909"	"2014.08.22"	"hipciof_ctf_corr_23"	"blood"	"plasma cell"	"plasma cell"	""	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Fluzone"	"VO_0000047"	""	"correlated with HI titer to H3N2 and B strains at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"82"
""	"20140822-hipciof_ctf_corr_24495909"	"2014.08.22"	"hipciof_ctf_corr_23"	"blood"	"plasma cell"	"plasma cell"	""	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluzone"	"VO_0000047"	""	"correlated with HI titer to H3N2 and B strains at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"3"	"82"
""	"20140822-hipciof_ctf_corr_24495909"	"2014.08.22"	"hipciof_ctf_corr_23"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"positively"	"none"	"43318"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Fluzone"	"VO_0000047"	""	"correlated with VN titer to B strain at 27-33 days"	"time of vaccination (first dose)"	"children (0.5-14yrs)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"4"	"83"
