"observation_tier"	"template_name"	"observation_summary"	"story_title"	"submission_name"	"submission_description"	"project"	"submission_story"	"submission_story_rank"	"submission_center"	"principal_investigator"
1	"hipciof_ctf_corr_1"	"In <tissue_type>, <response_agent><proterm_and_extra> frequency  was significantly <response_behavior><comparison> in subgroup <subgroup> of cohort <cohort> after exposure to <exposure_material> targeting <target_pathogen>"	""	"20140401-hipciof_ctf_corr_24336226"	"Li et al. (2014) Molecular signatures of antibody responses derived from a systems biology study of five human vaccines. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226' target='_blank'>24336226</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_corr_2"	"In <tissue_type>, <response_agent><proterm_and_extra> frequency  was significantly <response_behavior><comparison> in subgroup <subgroup> of cohort <cohort> after exposure to <exposure_material> targeting <target_pathogen>"	""	"20130913-hipciof_ctf_corr_23591775"	"Furman et al. (2013) Apoptosis and other immune biomarkers predict influenza vaccine responsiveness. Mol. Syst. Biol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775' target='_blank'>23591775</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_corr_3"	"In <tissue_type>, <response_agent><proterm_and_extra> frequency  was significantly <response_behavior><comparison> in subgroup <subgroup> of cohort <cohort> after exposure to <exposure_material> targeting <target_pathogen>"	""	"20130709-hipciof_ctf_corr_23601689"	"Obermoser et al. (2013) Systems scale interactive exploration reveals quantitative and qualitative differences in response to influenza and pneumococcal vaccines. Immunity PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689' target='_blank'>23601689</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_corr_4"	"In <tissue_type>, <response_agent><proterm_and_extra> frequency  was significantly <response_behavior><comparison> in subgroup <subgroup> of cohort <cohort> after exposure to <exposure_material> targeting <target_pathogen>"	""	"20180430-hipciof_ctf_corr_28854372"	"Rechtien et al. (2018) Systems Vaccinology Identifies an Early Innate Immune Signature as a Correlate of Antibody Responses to the Ebola Vaccine rVSV-ZEBOV. Cell Rep PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28854372' target='_blank'>28854372</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_corr_5"	"In <tissue_type>, <response_agent><proterm_and_extra> frequency  was significantly <response_behavior><comparison> in subgroup <subgroup> of cohort <cohort> after exposure to <exposure_material> targeting <target_pathogen>"	""	"20160722-hipciof_ctf_corr_26755593"	"Nakaya et al. (2016) Systems biology of immunity to MF59-adjuvanted versus nonadjuvanted trivalent seasonal influenza vaccines in early childhood. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593' target='_blank'>26755593</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_corr_8"	"In <tissue_type>, <response_agent><proterm_and_extra> frequency  was significantly <response_behavior><comparison> in subgroup <subgroup> of cohort <cohort> after exposure to <exposure_material> targeting <target_pathogen>"	""	"20180410-hipciof_ctf_corr_28193898"	"Kazmin et al. (2018) Systems analysis of protective immune responses to RTS,S malaria vaccination in humans. Proc. Natl. Acad. Sci. U.S.A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898' target='_blank'>28193898</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_corr_11"	"In <tissue_type>, <response_agent><proterm_and_extra> frequency  was significantly <response_behavior><comparison> in subgroup <subgroup> of cohort <cohort> after exposure to <exposure_material> targeting <target_pathogen>"	""	"20170807-hipciof_ctf_corr_28137280"	"O'Connor et al. (2017) High-dimensional assessment of B-cell responses to quadrivalent meningococcal conjugate and plain polysaccharide vaccine. Genome Med PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28137280' target='_blank'>28137280</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_corr_17"	"In <tissue_type>, <response_agent><proterm_and_extra> frequency  was significantly <response_behavior><comparison> in subgroup <subgroup> of cohort <cohort> after exposure to <exposure_material> targeting <target_pathogen>"	""	"20160707-hipciof_ctf_corr_26742691"	"Fourati et al. (2016) Pre-vaccination inflammation and B-cell signalling predict age-related hyporesponse to hepatitis B vaccination. Nat Commun PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691' target='_blank'>26742691</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_corr_22"	"In <tissue_type>, <response_agent><proterm_and_extra> frequency  was significantly <response_behavior><comparison> in subgroup <subgroup> of cohort <cohort> after exposure to <exposure_material> targeting <target_pathogen>"	""	"20111007-hipciof_ctf_corr_21743478"	"Nakaya et al. (2011) Systems biology of vaccination for seasonal influenza in humans. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478' target='_blank'>21743478</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
1	"hipciof_ctf_corr_23"	"In <tissue_type>, <response_agent><proterm_and_extra> frequency  was significantly <response_behavior><comparison> in subgroup <subgroup> of cohort <cohort> after exposure to <exposure_material> targeting <target_pathogen>"	""	"20140822-hipciof_ctf_corr_24495909"	"Cao et al. (2014) Differences in antibody responses between trivalent inactivated influenza vaccine and live attenuated influenza vaccine correlate with the kinetics and magnitude of interferon signaling in children. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909' target='_blank'>24495909</a>"	"Immune cell-type frequency response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."
