""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"vaccine"	"vaccine"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Vahey et al. (2010) Expression of genes associated with immunoproteasome processing of major histocompatibility complex peptides is indicative of protection with adjuvanted RTS,S malaria vaccine. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=20078211' target='_blank'>20078211</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response agents file"	"complete signature response agents file"
""	"20100308-hipciof_gene_20078211"	"2010.03.08"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSME2"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"vaccinated vs control"	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	"1"	"71"	"PSME2"	"VO_0003093"	"VO_0000774"	"hipciof_gene_20078211_71.txt"	"hipciof_gene_complete_20078211_71.txt"
""	"20100308-hipciof_gene_20078211"	"2010.03.08"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSMA4"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"vaccinated vs control"	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	"1"	"71"	"PSMA4"	"VO_0003093"	"VO_0000774"	"hipciof_gene_20078211_71.txt"	"hipciof_gene_complete_20078211_71.txt"
""	"20100308-hipciof_gene_20078211"	"2010.03.08"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSMB6"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"vaccinated vs control"	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	"1"	"71"	"PSMB6"	"VO_0003093"	"VO_0000774"	"hipciof_gene_20078211_71.txt"	"hipciof_gene_complete_20078211_71.txt"
""	"20100308-hipciof_gene_20078211"	"2010.03.08"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSMB9"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"vaccinated vs control"	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	"1"	"71"	"PSMB9"	"VO_0003093"	"VO_0000774"	"hipciof_gene_20078211_71.txt"	"hipciof_gene_complete_20078211_71.txt"
