""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"comments and additional details"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response agents file"	"complete signature response agents file"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"E2F2"	"gene expression"	"down"	"high responders"	"3"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"1"	"8"	"E2F2"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_8.txt"	"hipciof_gene_complete_21357945_8.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"STAT1"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"2"	"9"	"STAT1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_9.txt"	"hipciof_gene_complete_21357945_9.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"IRF9"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"2"	"9"	"IRF9"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_9.txt"	"hipciof_gene_complete_21357945_9.txt"
""	"20110512-hipciof_gene_21357945"	"2011.05.12"	"hipciof_gene_1"	"peripheral blood mononuclear cell"	"SPI1"	"gene expression"	"up"	"high responders"	"1"	"Days"	"2008"	"Fluarix; Fluvirin"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-40)"	"21357945"	"2011"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"adults"	"18"	"40"	"years"	"2"	"9"	"SPI1"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_21357945_9.txt"	"hipciof_gene_complete_21357945_9.txt"
