""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"comments and additional details"	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Qi et al. (2017) Defective T Memory Cell Differentiation after Varicella Zoster Vaccination in Older Individuals. PLoS Pathog. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27764254' target='_blank'>27764254</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20170519-hipciof_gene_27764254"	"2017.05.19"	"hipciof_gene_13"	"blood"	"PSMG2"	"gene expression"	"up"	"none"	"1"	"Days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/27764254"	"adults, seniors"	"50"	"75"	"years"	"1"	"80"	"PSMG2"	"hipciof_gene_27764254_80.txt"	"hipciof_gene_complete_27764254_80.txt"
""	"20170519-hipciof_gene_27764254"	"2017.05.19"	"hipciof_gene_13"	"blood"	"FAF2"	"gene expression"	"up"	"none"	"1"	"Days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/27764254"	"adults, seniors"	"50"	"75"	"years"	"1"	"80"	"FAF2"	"hipciof_gene_27764254_80.txt"	"hipciof_gene_complete_27764254_80.txt"
""	"20170519-hipciof_gene_27764254"	"2017.05.19"	"hipciof_gene_13"	"blood"	"PPIAL4A"	"gene expression"	"up"	"none"	"1"	"Days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/27764254"	"adults, seniors"	"50"	"75"	"years"	"1"	"80"	"PPIAL4A"	"hipciof_gene_27764254_80.txt"	"hipciof_gene_complete_27764254_80.txt"
""	"20170519-hipciof_gene_27764254"	"2017.05.19"	"hipciof_gene_13"	"blood"	"EXOSC10"	"gene expression"	"up"	"none"	"1"	"Days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/27764254"	"adults, seniors"	"50"	"75"	"years"	"1"	"80"	"EXOSC10"	"hipciof_gene_27764254_80.txt"	"hipciof_gene_complete_27764254_80.txt"
