""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"vaccine"	"vaccine"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Figure or table or text section containing signature"	"comment"	"O'Connor et al. (2017) High-dimensional assessment of B-cell responses to quadrivalent meningococcal conjugate and plain polysaccharide vaccine. Genome Med PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28137280' target='_blank'>28137280</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response agents file"	"complete signature response agents file"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TRAPPC10"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"TMEM1"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"KANSL1"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"KANSL1"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"DIAPH1"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"DIAPH1"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PROK1"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"PROK1"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PPP1R10"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"PPP1R10"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"DYNC1H1"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"DYNC1H1"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"CHD4"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"CHD4"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"YAF2"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"YAF2"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"HOMER3"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"HOMER3"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"MICOS13"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"MIC13"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ATP5MF"	"gene expression"	"up"	"none"	"35"	"Days"	"neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"1"	"78"	"ATP5J2"	"VO_0001246"	"VO_0003138"	"hipciof_gene_28137280_78.txt"	"hipciof_gene_complete_28137280_78.txt"
