""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Kazmin et al. (2018) Systems analysis of protective immune responses to RTS,S malaria vaccination in humans. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898'>28193898</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20180410-hipciof_gene_28193898"	"2018.04.10"	"hipciof_gene_10"	"peripheral blood mononuclear cell"	"IFI27"	"gene expression"	"up"	"primary immunization with recombinant adenovirus 35 (Ad35)"	"1"	"Days"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01"	"VO_0003093"	""	"immunized with ARR vs immunized by RRR"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28193898"	"1"	"73"	"IFI27"
""	"20180410-hipciof_gene_28193898"	"2018.04.10"	"hipciof_gene_10"	"peripheral blood mononuclear cell"	"IFI44L"	"gene expression"	"up"	"primary immunization with recombinant adenovirus 35 (Ad35)"	"1"	"Days"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01"	"VO_0003093"	""	"immunized with ARR vs immunized by RRR"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28193898"	"1"	"73"	"IFI44L"
""	"20180410-hipciof_gene_28193898"	"2018.04.10"	"hipciof_gene_10"	"peripheral blood mononuclear cell"	"IFI6"	"gene expression"	"up"	"primary immunization with recombinant adenovirus 35 (Ad35)"	"1"	"Days"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01"	"VO_0003093"	""	"immunized with ARR vs immunized by RRR"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28193898"	"1"	"73"	"IFI6"
""	"20180410-hipciof_gene_28193898"	"2018.04.10"	"hipciof_gene_10"	"peripheral blood mononuclear cell"	"HESX1"	"gene expression"	"up"	"primary immunization with recombinant adenovirus 35 (Ad35)"	"1"	"Days"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01"	"VO_0003093"	""	"immunized with ARR vs immunized by RRR"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28193898"	"1"	"73"	"HESX1"
""	"20180410-hipciof_gene_28193898"	"2018.04.10"	"hipciof_gene_10"	"peripheral blood mononuclear cell"	"SERPING1"	"gene expression"	"up"	"primary immunization with recombinant adenovirus 35 (Ad35)"	"1"	"Days"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01"	"VO_0003093"	""	"immunized with ARR vs immunized by RRR"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28193898"	"1"	"73"	"SERPING1"
