""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Furman et al. (2013) Apoptosis and other immune biomarkers predict influenza vaccine responsiveness. Mol. Syst. Biol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775' target='_blank'>23591775</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response agents file"	"complete signature response agents file"
""	"20130913-hipciof_gene_corr_23591775"	"2013.09.13"	"hipciof_gene_corr_41"	"peripheral blood mononuclear cell"	"TRBV5-4"	"gene expression"	"negatively"	"none"	"28"	"Days"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (20 - > 89)"	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"1"	"354"	"TRBV5-4"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_23591775_354.txt"	"hipciof_gene_corr_complete_23591775_354.txt"
""	"20130913-hipciof_gene_corr_23591775"	"2013.09.13"	"hipciof_gene_corr_41"	"peripheral blood mononuclear cell"	"TRBV5-5"	"gene expression"	"negatively"	"none"	"28"	"Days"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (20 - > 89)"	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"1"	"354"	"TRBV5-5"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_23591775_354.txt"	"hipciof_gene_corr_complete_23591775_354.txt"
""	"20130913-hipciof_gene_corr_23591775"	"2013.09.13"	"hipciof_gene_corr_41"	"peripheral blood mononuclear cell"	"TRBV5-8"	"gene expression"	"negatively"	"none"	"28"	"Days"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (20 - > 89)"	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"1"	"354"	"TRBV5-8"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_23591775_354.txt"	"hipciof_gene_corr_complete_23591775_354.txt"
""	"20130913-hipciof_gene_corr_23591775"	"2013.09.13"	"hipciof_gene_corr_41"	"peripheral blood mononuclear cell"	"TRBV6-1"	"gene expression"	"negatively"	"none"	"28"	"Days"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (20 - > 89)"	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"1"	"354"	"TRBV6-1"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_23591775_354.txt"	"hipciof_gene_corr_complete_23591775_354.txt"
""	"20130913-hipciof_gene_corr_23591775"	"2013.09.13"	"hipciof_gene_corr_41"	"peripheral blood mononuclear cell"	"TRBV7-3"	"gene expression"	"negatively"	"none"	"28"	"Days"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (20 - > 89)"	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"1"	"354"	"TRBV7-3"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_23591775_354.txt"	"hipciof_gene_corr_complete_23591775_354.txt"
""	"20130913-hipciof_gene_corr_23591775"	"2013.09.13"	"hipciof_gene_corr_41"	"peripheral blood mononuclear cell"	"TRBV7-4"	"gene expression"	"negatively"	"none"	"28"	"Days"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (20 - > 89)"	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"1"	"354"	"TRBV7-4"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_23591775_354.txt"	"hipciof_gene_corr_complete_23591775_354.txt"
