""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"vaccine"	"vaccine"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Figure or table or text section containing signature"	"comment"	"Li et al. (2014) Molecular signatures of antibody responses derived from a systems biology study of five human vaccines. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226' target='_blank'>24336226</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response agents file"	"complete signature response agents file"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"IL1R2"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"IL1R2"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"CD9"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"CD9"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"CD1B"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"CD1B"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"CD1C"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"CD1C"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"PCTP"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"PCTP"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"HLA-DPB1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"HLA-DPB1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"HLA-DPA1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"HLA-DPA1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"HLA-DQB1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"HLA-DQB1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"HLA-DRA"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"HLA-DRA1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
""	"20140401-hipciof_gene_corr_24336226"	"2014.04.01"	"hipciof_gene_corr_2"	"peripheral blood mononuclear cell"	"HLA-DRB1"	"gene expression"	"positively"	"none"	"3"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"9"	"22"	"HLA-DRB1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_corr_24336226_22.txt"	"hipciof_gene_corr_complete_24336226_22.txt"
