""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"comments and additional details"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Cao et al. (2014) Differences in antibody responses between trivalent inactivated influenza vaccine and live attenuated influenza vaccine correlate with the kinetics and magnitude of interferon signaling in children. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909' target='_blank'>24495909</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response agents file"	"complete signature response agents file"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"OASL"	"gene expression"	"positively"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"correlated with H3N1 HI titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"13"	"260"	"OASL"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_260.txt"	"hipciof_gene_corr_complete_24495909_260.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"IFIT1"	"gene expression"	"positively"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"correlated with H3N1 HI titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"13"	"260"	"IFIT1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_260.txt"	"hipciof_gene_corr_complete_24495909_260.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"IFIT3"	"gene expression"	"positively"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"correlated with H3N1 HI titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"13"	"260"	"IFIT3"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_260.txt"	"hipciof_gene_corr_complete_24495909_260.txt"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"IFI44L"	"gene expression"	"positively"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"correlated with H3N1 HI titer"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Table 3"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"13"	"260"	"IFI44L"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_24495909_260.txt"	"hipciof_gene_corr_complete_24495909_260.txt"
