""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"target_pathogen_5"	"target_pathogen_6"	"target_pathogen_7"	"target_pathogen_8"	"target_pathogen_9"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	""	""	""	""	""	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Figure or table or text section containing signature"	"comment"	"Nakaya et al. (2016) Systems Analysis of Immunity to Influenza Vaccination across Multiple Years and in Diverse Populations Reveals Shared Molecular Signatures. Immunity PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988' target='_blank'>26682988</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"target pathogen 4"	"target pathogen 5"	"target pathogen 6"	"target pathogen 7"	"target pathogen 8"	"target pathogen 9"	"signature response agents file"	"complete signature response agents file"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"IL2RB"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"1"	"281"	"IL2RB"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_281.txt"	"hipciof_gene_corr_complete_26682988_281.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"KIR3DL1"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"1"	"281"	"KIR3DL1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_281.txt"	"hipciof_gene_corr_complete_26682988_281.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"KLRK1"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"1"	"281"	"KLRK1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_281.txt"	"hipciof_gene_corr_complete_26682988_281.txt"
""	"20160506-hipciof_gene_corr_26682988"	"2016.05.06"	"hipciof_gene_corr_39"	"peripheral blood mononuclear cell"	"CD96"	"gene expression"	"positively"	"2010 season"	"3"	"Days"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (21-86)"	"26682988"	"2015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26682988"	"1"	"281"	"CD96"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipciof_gene_corr_26682988_281.txt"	"hipciof_gene_corr_complete_26682988_281.txt"
