""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	""
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"vaccine"	"vaccine"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Hoft et al. (2017) Safety and Immunogenicity of the Recombinant BCG Vaccine AERAS-422 in Healthy BCG-naïve Adults: A Randomized, Active-controlled, First-in-human Phase 1 Trial. EBioMedicine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481' target='_blank'>27322481</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"positively"	"high and low dose"	"0"	"Days"	"Mycobacterium bovis BCG"	""	"rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"1"	"164"	"IL-1B"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"IL12RB2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"IL12RB2"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"SPIRE1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"SPIRE1"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"CACNA2D2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"CACNA2D2"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"GZMH"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"GZMH"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"RNF165"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"RNF165"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"PRSS23"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"PRSS23"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"PDGFD"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"PDGFD"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"RASGEF1A"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"RASGEF1A"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"COLQ"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"COLQ"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"IL2RB"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"IL2RB"	"VO_0004757"	"VO_0000103"
""	"20170306-hipciof_gene_corr_27322481"	"2017.03.06"	"hipciof_gene_corr_26"	"peripheral blood mononuclear cell"	"KLRB1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"correlated with whole blood bactericidal activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"7"	"170"	"KLRB1"	"VO_0004757"	"VO_0000103"
