""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Figure or table or text section containing signature"	"comment"	"Weinberger et al. (2019) Impaired Immune Response to Primary but Not to Booster Vaccination Against Hepatitis B in Older Adults. Front Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=29868000' target='_blank'>29868000</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"CD8A"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"1"	"370"	"CD8A"	"hipciof_gene_corr_29868000_370.txt"	"hipciof_gene_corr_complete_29868000_370.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"CD14"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"1"	"370"	"CD14"	"hipciof_gene_corr_29868000_370.txt"	"hipciof_gene_corr_complete_29868000_370.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"IFITM1"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"1"	"370"	"IFITM1"	"hipciof_gene_corr_29868000_370.txt"	"hipciof_gene_corr_complete_29868000_370.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"IFITM3"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"1"	"370"	"IFITM3"	"hipciof_gene_corr_29868000_370.txt"	"hipciof_gene_corr_complete_29868000_370.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"LYN"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"1"	"370"	"LYN"	"hipciof_gene_corr_29868000_370.txt"	"hipciof_gene_corr_complete_29868000_370.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"SEC14L1"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"1"	"370"	"SEC14L1"	"hipciof_gene_corr_29868000_370.txt"	"hipciof_gene_corr_complete_29868000_370.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"TNIP1"	"gene expression"	"positively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"1"	"370"	"TNIP1"	"hipciof_gene_corr_29868000_370.txt"	"hipciof_gene_corr_complete_29868000_370.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"IL9"	"gene expression"	"negatively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"2"	"371"	"IL9"	"hipciof_gene_corr_29868000_371.txt"	"hipciof_gene_corr_complete_29868000_371.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"TNF"	"gene expression"	"negatively"	"group A"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"2"	"371"	"TNF"	"hipciof_gene_corr_29868000_371.txt"	"hipciof_gene_corr_complete_29868000_371.txt"
""	"20190711-hipciof_gene_corr_29868000"	"2019.07.11"	"hipciof_gene_corr_45"	"blood"	"CXCR5"	"gene expression"	"positively"	"group B"	"1"	"day"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with high anti-HBs concentration"	"time of vaccination (first dose)"	"young/old adults (20-38)/(62-74)"	"29868000"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"3"	"372"	"BLR1"	"hipciof_gene_corr_29868000_372.txt"	"hipciof_gene_corr_complete_29868000_372.txt"
