""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"García-Piñeres et al. (2009) Gene expression patterns induced by HPV-16 L1 virus-like particles in leukocytes from vaccine recipients. J. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521' target='_blank'>19155521</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_cor_19155521"	"2009.02"	"hipc_gene_cor_24"	"peripheral blood mononuclear cell"	"CCND2"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"152"	"CCND2"	"hipc_gene_cor_19155521_152.txt"	"hipc_gene_cor_complete_19155521_152.txt"
""	"hipc_gene_cor_19155521"	"2009.02"	"hipc_gene_cor_24"	"peripheral blood mononuclear cell"	"LGALS2"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"152"	"LGALS2"	"hipc_gene_cor_19155521_152.txt"	"hipc_gene_cor_complete_19155521_152.txt"
""	"hipc_gene_cor_19155521"	"2009.02"	"hipc_gene_cor_24"	"peripheral blood mononuclear cell"	"IL1RN"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"152"	"IL1RN"	"hipc_gene_cor_19155521_152.txt"	"hipc_gene_cor_complete_19155521_152.txt"
""	"hipc_gene_cor_19155521"	"2009.02"	"hipc_gene_cor_24"	"peripheral blood mononuclear cell"	"CD1B"	"gene expression"	"positively"	"none"	"7"	"Months"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"young adults (18-25)"	"19155521"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"3"	"152"	"CD1B"	"hipc_gene_cor_19155521_152.txt"	"hipc_gene_cor_complete_19155521_152.txt"
